date,province,new_cases,accu_cases,incidence,positivity,recovered,new_deaths,accu_deaths,processed
8/28/2021,Distrito Nacional,42,94729,9080.74,5.69,93412,0,640,485848
8/28/2021,Azua,0,4501,2025.14,6.24,4403,0,40,24542
8/28/2021,Baoruco,2,1984,1964.26,3.34,1944,0,14,10844
8/28/2021,Barahona,0,4785,2529.38,2.68,4668,0,32,27180
8/28/2021,Dajabén,0,1565,2354.55,6.28,1497,0,15,8729
8/28/2021,Duarte,5,8325,2785.09,3.73,7932,0,234,55781
8/28/2021,Elias Pia,0,522,823.32,0.34,502,0,6,5960
8/28/2021,El Seibo,0,1224,1308.98,4.5,1173,0,16,8274
8/28/2021,Espaillat,7,7252,3023.62,8.75,6867,0,133,40941
8/28/2021,Independencia,1,1359,2326.1,1.68,1335,0,13,11548
8/28/2021,La Altagracia,7,12160,3440.8,3.02,11888,0,90,78071
8/28/2021,LaRomana,9,12742,4674.3,3.84,12413,0,204,78073
8/28/2021,La Vega,20,11969,2910.11,8.98,11434,0,214,64117
8/28/2021,Maria Trinidad Sanche,8,4378,3102.83,13.22,4221,0,32,24188
8/28/2021,Monte Cristi,1,1713,1461.34,5.65,1589,0,31,11340
8/28/2021,Pedernales,0,922,2634.51,5.88,907,0,4,4766
8/28/2021,Peravia,3,3137,1588.89,5.22,3026,0,66,19525
8/28/2021,Puerto Plata,16,8785,2636.39,4.87,8381,0,158,63035
8/28/2021,Hermanas Mirabal,6,3345,3630.03,3.19,3240,0,50,34955
8/28/2021,Samana,0,1146,1021.75,3.83,1106,0,10,9885
8/28/2021,San Cristébal,1,11915,1869.23,7.36,11525,0,213,59367
8/28/2021,San Juan,1,5637,2542.21,3.09,5493,0,73,30868
8/28/2021,San Pedro de Macoris,1,5825,1910.05,3.88,5687,0,63,40010
8/28/2021,Sanchez Ramirez,10,3699,2433.9,8.82,3552,0,38,19805
8/28/2021,Santiago,46,35324,3379.74,7.42,33892,0,608,180053
8/28/2021,Santiago Rodriguez,0,1683,2938.92,4.43,1644,0,11,12667
8/28/2021,Valverde,0,3481,1969.78,4.12,3335,0,53,28609
8/28/2021,Monsefor Nouel,6,3960,2272.23,3.94,3857,0,51,25651
8/28/2021,Monte Plata,6,2241,1173.1,5,2136,0,36,17955
8/28/2021,Hato Mayor,8,1706,1989.23,9.15,1627,0,20,12314
8/28/2021,San Jose de Ocoa,2,1413,2597.19,6.03,1346,0,28,8028
8/28/2021,Santo Domingo,31,76355,2627.49,5.47,74677,0,809,372896
8/28/2021,No especificado*e,0,10077,0,0,10024,0,2,74768
