"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-16","Distrito Nacional","19","95481","9152.83","6.82","94182","0","643","492462"
"2021-09-16","Azua","0","4540","2042.69","7.48","4439","0","40","24906"
"2021-09-16","Baoruco","0","1996","1976.14","1.48","1958","0","14","11691"
"2021-09-16","Barahona","0","4806","2540.48","3","4705","0","32","28004"
"2021-09-16","Dajabén","2","1661","2498.98","8.54","1576","0","15","9777"
"2021-09-16","Duarte","16","8446","2825.57","4.14","8057","0","236","58628"
"2021-09-16","Elias Pifla","2","532","839.09","1.7","508","0","6","6223"
"2021-09-16","El Seibo","0","1228","1313.26","5.45","1182","0","16","8304"
"2021-09-16","Espaillat","5","7416","3092","777","7116","0","133","42873"
"2021-09-16","Independencia","0","1362","2331.23","1.75","1338","0","13","11682"
"2021-09-16","La Altagracia","0","12287","3476.74","4.03","12027","0","91","80920"
"2021-09-16","La Romana","10","12838","4709.52","7.34","12506","0","204","78789"
"2021-09-16","La Vega","0","12234","2974.54","7.72","11751","0","216","67245"
"2021-09-16","Maria Trinidad Sanche","5","4496","3186.46","6.39","4346","0","32","25891"
"2021-09-16","Monte Cristi","10","1847","1575.66","17.86","1708","0","31","12008"
"2021-09-16","Pedernales","1","927","2648.8","3.31","912","0","4","4875"
"2021-09-16","Peravia","13","3196","1618.77","11.44","3074","0","66","19937"
"2021-09-16","Puerto Plata","39","9128","2739.32","5.47","8733","0","159","69088"
"2021-09-16","Hermanas Mirabal","5","3406","3696.23","4.56","3304","1","51","35656"
"2021-09-16","Samana","1","1174","1046.72","2.4","1128","0","10","10705"
"2021-09-16","San Cristébal","10","12138","1904.21","12.35","11702","1","216","60715"
"2021-09-16","San Juan","2","5683","2562.96","5.57","5548","0","73","31725"
"2021-09-16","San Pedro de Macoris","0","5905","1936.28","6.84","5749","0","63","41030"
"2021-09-16","Sanchez Ramirez","0","3756","2471.41","6.72","3628","0","38","20529"
"2021-09-16","Santiago","67","36140","3457.81","8.42","34786","0","612","189583"
"2021-09-16","Santiago Rodriguez","3","1719","3001.78","3.67","1675","0","11","13417"
"2021-09-16","Valverde","10","3680","2082.39","5.18","3453","0","53","31591"
"2021-09-16","Monsefor Nouel","6","3992","2290.59","5.68","3896","0","51","26074"
"2021-09-16","Monte Plata","1","2277","1191.94","3.99","2176","0","36","18846"
"2021-09-16","Hato Mayor","0","1732","2019.54","7.03","1666","0","20","12761"
"2021-09-16","San Jose de Ocoa","0","1419","2608.22","2.55","1360","0","28","8304"
"2021-09-16","Santo Domingo","45","77136","2654.37","6.01","75434","0","812","384069"
"2021-09-16","No especificado*e","1","10138","0","0","10083","0","2","76168"
