"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-21","Distrito Nacional","23","95656","9169.6","6.58","94336","0","643","494040"
"2021-09-21","Azua","2","4550","2047.19","7.68","4456","0","40","24968"
"2021-09-21","Baoruco","1","2000","1980.1","1.18","1958","0","14","11754"
"2021-09-21","Barahona","1","4811","2543.12","3.12","4710","0","32","28156"
"2021-09-21","Dajabén","14","1711","2574.21","9.84","1606","0","15","10060"
"2021-09-21","Duarte","5","8468","2832.93","3.85","8098","0","236","59383"
"2021-09-21","Elias Piha","0","532","839.09","1.77","513","0","6","6226"
"2021-09-21","El Seibo","2","1230","1315.4","9.62","1183","0","16","8310"
"2021-09-21","Espaillat","9","7437","3100.75","7.08","7184","0","133","43032"
"2021-09-21","Independencia","3","1368","2341.5","1.96","1340","0","13","11776"
"2021-09-21","La Altagracia","21","12359","3497.11","3.23","12059","0","91","82758"
"2021-09-21","La Romana","7","12878","4724.19","8.56","12528","0","204","79036"
"2021-09-21","La Vega","6","12284","2986.7","6.17","11824","0","216","68220"
"2021-09-21","Maria Trinidad Sanche","1","4523","3205.6","5.28","4378","0","32","26370"
"2021-09-21","Monte Cristi","23","1902","1622.58","17.25","1765","0","32","12301"
"2021-09-21","Pedernales","1","934","2668.8","3.91","915","0","4","4919"
"2021-09-21","Peravia","14","3217","1629.41","10.84","3089","0","66","20083"
"2021-09-21","Puerto Plata","8","9162","2749.53","5.46","8830","0","159","69880"
"2021-09-21","Hermanas Mirabal","2","3417","3708.17","4.71","3323","0","51","35736"
"2021-09-21","Samana","2","1177","1049.39","2.42","1143","0","10","10793"
"2021-09-21","San Cristébal","13","12208","1915.19","11.8","11765","0","217","61355"
"2021-09-21","San Juan","5","5704","2572.43","5.74","5559","0","73","31893"
"2021-09-21","San Pedro de Macoris","0","5929","1944.15","6.84","5790","0","63","41376"
"2021-09-21","Sanchez Ramirez","23","3810","2506.94","6.76","3642","0","38","20786"
"2021-09-21","Santiago","54","36336","3476.57","7.47","35050","0","613","192541"
"2021-09-21","Santiago Rodriguez","2","1725","3012.26","3.43","1688","0","11","13677"
"2021-09-21","Valverde","27","3759","2127.09","5.61","3530","0","53","32208"
"2021-09-21","Monsefior Nouel","2","3996","2292.89","4.77","3905","0","51","26182"
"2021-09-21","Monte Plata","3","2290","1198.75","3.95","2188","0","36","19094"
"2021-09-21","Hato Mayor","0","1740","2028.87","4.5","1678","0","20","12979"
"2021-09-21","San Jose de Ocoa","0","1419","2608.22","2.11","1362","0","28","8327"
"2021-09-21","Santo Domingo","46","77361","2662.11","5.75","75598","1","813","387402"
"2021-09-21","No especificado""e","1","10149","0","0","10084","0","2","76275"
