"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-19","Distrito Nacional","67","95586","9162.89","6.44","94304","0","643","493440"
"2021-09-19","Azua","3","4547","2045.84","7.58","4446","0","40","24957"
"2021-09-19","Baoruco","1","1998","1978.12","1.25","1957","0","14","11742"
"2021-09-19","Barahona","1","4808","2541.54","3.47","4710","0","32","28058"
"2021-09-19","Dajabén","0","1684","2533.59","9.56","1592","0","15","9898"
"2021-09-19","Duarte","2","8454","2828.25","4.02","8089","0","236","59019"
"2021-09-19","Elias Piha","0","532","839.09","1.71","511","0","6","6224"
"2021-09-19","El Seibo","0","1228","1313.26","5.26","1183","0","16","8306"
"2021-09-19","Espaillat","0","7416","3092","7.48","7161","0","133","42882"
"2021-09-19","Independencia","0","1362","2331.23","1.62","1340","0","13","11709"
"2021-09-19","La Altagracia","21","12328","3488.34","3.34","12049","0","91","82294"
"2021-09-19","LaRomana","2","12868","4720.52","8.41","12522","0","204","78976"
"2021-09-19","Vega","3","12265","2982.08","7.27","11802","0","216","67659"
"2021-09-19","Maria Trinidad Sanche","0","4505","3192.84","6.72","4374","0","32","25983"
"2021-09-19","Monte Cristi","0","1871","1596.13","18.6","1727","0","31","12104"
"2021-09-19","Pedernales","0","928","2651.66","2.7","914","0","4","4884"
"2021-09-19","Peravia","2","3201","1621.3","10.43","3088","0","66","19961"
"2021-09-19","Puerto Plata","0","9143","2743.82","552","8817","0","159","69587"
"2021-09-19","Hermanas Mirabal","1","3414","3704.91","5.21","3314","0","51","35682"
"2021-09-19","Samana","0","1175","1047.61","2.21","1140","0","10","10763"
"2021-09-19","San Cristébal","14","12173","1909.7","12","11735","0","217","61029"
"2021-09-19","San Juan","0","5689","2565.66","5.73","5556","0","73","31792"
"2021-09-19","San Pedro de Macoris","7","5928","1943.82","7.43","5774","0","63","41245"
"2021-09-19","Sanchez Ramirez","1","3769","2479.96","6.46","3637","0","38","20607"
"2021-09-19","Santiago","27","36227","3466.14","7.96","34963","1","613","190924"
"2021-09-19","Santiago Rodriguez","0","1723","3008.77","4.17","1686","0","11","13431"
"2021-09-19","Valverde","0","3708","2098.23","5.44","3499","0","53","31949"
"2021-09-19","Monsefior Nouel","0","3993","2291.17","5.52","3900","0","51","26084"
"2021-09-19","Monte Plata","2","2282","1194.56","3.79","2187","0","36","19010"
"2021-09-19","Hato Mayor","0","1738","2026.54","5.77","1675","0","20","12956"
"2021-09-19","San Jose de Ocoa","0","1419","2608.22","2.12","1362","0","28","8308"
"2021-09-19","Santo Domingo","68","77270","2658.98","5.64","75550","0","812","385982"
"2021-09-19","No especificado*e","6","10146","0","0","10084","0","2","76272"
