"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-15","Distrito Nacional","37","95462","9151","6.81","94136","0","643","492170"
"2021-09-15","Azua","0","4540","2042.69","7.37","4435","0","40","24902"
"2021-09-15","Baoruco","0","1996","1976.14","1.91","1957","0","14","11570"
"2021-09-15","Barahona","2","4806","2540.48","2.95","4705","0","32","28004"
"2021-09-15","Dajabén","11","1659","2495.98","8.2","1573","0","15","9769"
"2021-09-15","Duarte","5","8430","2820.22","3.81","8053","0","236","58562"
"2021-09-15","Elias Pinta","1","530","835.94","2.07","505","0","6","6171"
"2021-09-15","El Seibo","0","1228","1313.26","5.36","1182","0","16","8304"
"2021-09-15","Espaillat","2","7411","3089.91","7.95","7111","0","133","42830"
"2021-09-15","Independencia","0","1362","2331.23","1.74","1338","0","13","11681"
"2021-09-15","La Altagracia","20","12287","3476.74","4.04","12022","0","91","80774"
"2021-09-15","LaRomana","8","12828","4705.85","8.5","12502","0","204","78609"
"2021-09-15","La Vega","25","12234","2974.54","7.85","11740","0","216","67243"
"2021-09-15","Maria Trinidad Sanche","17","4491","3182.92","6.78","4337","0","32","25819"
"2021-09-15","Monte Cristi","2","1837","1567.13","16.83","1706","0","31","11991"
"2021-09-15","Pedernales","0","926","2645.94","3.14","912","0","4","4867"
"2021-09-15","Peravia","1","3183","1612.18","8","3067","0","66","19892"
"2021-09-15","Puerto Plata","5","9089","2727.62","5.22","8706","0","159","68767"
"2021-09-15","Hermanas Mirabal","3","3401","3690.8","4.41","3297","0","50","35584"
"2021-09-15","Samana","2","1173","1045.83","2.73","1128","0","10","10662"
"2021-09-15","San Cristdbal","17","12128","1902.64","11.93","11694","0","215","60654"
"2021-09-15","San Juan","4","5681","2562.06","7.43","5545","0","73","31455"
"2021-09-15","San Pedro de Macoris","3","5905","1936.28","6.68","5744","0","63","41030"
"2021-09-15","Sanchez Ramirez","0","3756","2471.41","6.54","3628","0","38","20529"
"2021-09-15","Santiago","32","36073","3451.4","8.33","34762","1","612","189118"
"2021-09-15","Santiago Rodriguez","2","1716","2996.54","4.18","1673","0","11","13294"
"2021-09-15","Valverde","24","3670","2076.73","4.98","3449","0","53","31399"
"2021-09-15","Monsefior Nouel","0","3986","2287.15","5.44","3894","0","51","26001"
"2021-09-15","Monte Plata","6","2276","1191.42","4.18","2175","0","36","18745"
"2021-09-15","Hato Mayor","0","1732","2019.54","6.77","1666","0","20","12760"
"2021-09-15","San Jose de Ocoa","0","1419","2608.22","3.06","1358","0","28","8232"
"2021-09-15","Santo Domingo","45","77091","2652.82","6.1","75373","0","812","383343"
"2021-09-15","No especificado*e","0","10137","0","0","10083","0","2","76168"
