"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-29","Distrito Nacional","37","96096","9211.78","7.58","94674","0","644","496736"
"2021-09-29","Azua","0","4569","2055.74","7.61","4466","0","40","25114"
"2021-09-29","Baoruco","3","2007","1987.03","0.93","1970","0","15","12117"
"2021-09-29","Barahona","5","4836","2556.34","4.17","4723","0","32","28582"
"2021-09-29","Dajabén","25","1754","2638.9","11.44","1678","0","15","10269"
"2021-09-29","Duarte","4","8520","2850.33","4.87","8156","0","236","59961"
"2021-09-29","Elias Pifia","0","539","850.13","1.8","516","0","6","6469"
"2021-09-29","El Seibo","0","1233","1318.6","9.8","1184","0","16","8331"
"2021-09-29","Espaillat","4","7488","3122.02","5.23","7221","0","134","44112"
"2021-09-29","Independencia","6","1375","2353.48","2.84","1344","0","13","12000"
"2021-09-29","La Altagracia","57","12509","3539.56","4.84","12167","0","91","83934"
"2021-09-29","LaRomana","12","12956","4752.8","9.86","12598","0","204","79436"
"2021-09-29","La Vega","19","12433","3022.93","4.61","11927","0","216","70194"
"2021-09-29","Maria Trinidad Sanche","0","4557","3229.69","4.82","4442","0","32","26888"
"2021-09-29","Monte Cristi","35","2008","1713","20.51","1841","0","33","12701"
"2021-09-29","Pedernales","8","950","2714.52","10.65","922","0","4","4957"
"2021-09-29","Peravia","3","3277","1659.8","16.49","3122","0","66","20275"
"2021-09-29","Puerto Plata","37","9352","2806.55","6.15","8945","0","159","71826"
"2021-09-29","Hermanas Mirabal","1","3430","3722.27","5.03","3344","0","51","35879"
"2021-09-29","Samana","1","1205","1074.36","3.59","1158","0","10","11071"
"2021-09-29","San Cristébal","21","12339","1935.75","12.27","11881","0","217","62411"
"2021-09-29","San Juan","19","5746","2591.37","4.6","5588","0","73","32542"
"2021-09-29","San Pedro de Macoris","9","5996","1966.12","7.68","5824","0","63","42083"
"2021-09-29","Sanchez Ramirez","6","3849","2532.6","9.12","3690","0","38","21020"
"2021-09-29","Santiago","154","36803","3521.25",NA,"35384","0","620","197046"
"2021-09-29","Santiago Rodriguez","30","1804","3150.21","7","1704","0","11","14061"
"2021-09-29","Valverde","38","3862","2185.38","6.78","3658","0","53","32939"
"2021-09-29","Monsefior Nouel","0","4017","2304.94","4.61","3926","0","52","26470"
"2021-09-29","Monte Plata","6","2324","1216.54","3.2","2215","0","36","20122"
"2021-09-29","Hato Mayor","0","1744","2033.53","3.62","1688","0","20","13231"
"2021-09-29","San Jose de Ocoa","0","1422","2613.73","2.24","1362","0","28","8345"
"2021-09-29","Santo Domingo","52","77884","2680.11","5.99","75983","0","816","393483"
"2021-09-29","No especificado""e","0","10163","0","0","10103","0","2","76334"
