"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-05","Distrito Nacional","19","95069","9113.33","6.21","93710","0","641","488724"
"2021-09-05","Azua","0","4520","2033.69","6.35","4414","0","40","24737"
"2021-09-05","Baoruco","0","1990","1970.2","2.57","1948","0","14","10954"
"2021-09-05","Barahona","0","4795","2534.66","2.47","4694","0","32","27482"
"2021-09-05","Dajabén","0","1598","2404.2","6.89","1541","0","15","9163"
"2021-09-05","Duarte","1","8361","2797.13","3.19","8005","0","236","57320"
"2021-09-05","Elias Pia","0","523","824.9","0.44","503","0","6","5986"
"2021-09-05","El Seibo","0","1227","1312.19","4.74","1179","0","16","8296"
"2021-09-05","Espaillat","9","7332","3056.97","7.89","6999","0","133","41860"
"2021-09-05","Independencia","0","1359","2326.1","0.78","1336","0","13","11582"
"2021-09-05","La Altagracia","6","12205","3453.54","3.11","11948","0","90","78856"
"2021-09-05","LaRomana","4","12788","4691.17","4.33","12447","0","204","78363"
"2021-09-05","La Vega","18","12108","2943.91","9.19","11569","0","215","65121"
"2021-09-05","Maria Trinidad Sanche","0","4408","3124.09","9.8","4273","0","32","24655"
"2021-09-05","Monte Cristi","0","1744","1487.79","6.13","1656","0","31","11581"
"2021-09-05","Pedernales","0","923","2637.37","3.85","912","0","4","4807"
"2021-09-05","Peravia","7","3158","1599.52","5.59","3046","0","66","19724"
"2021-09-05","Puerto Plata","19","8933","2680.8","4.88","8505","0","158","65554"
"2021-09-05","Hermanas Mirabal","0","3372","3659.33","3.57","3264","0","50","35265"
"2021-09-05","Samana","0","1152","1027.1","3.92","1121","0","10","10042"
"2021-09-05","San Cristébal","4","12011","1884.29","952","11588","0","213","59976"
"2021-09-05","San Juan","0","5660","2552.59","3.25","5520","0","73","31099"
"2021-09-05","San Pedro de Macoris","0","5850","1918.25","4.06","5711","0","63","40352"
"2021-09-05","Sanchez Ramirez","0","3729","2453.64","8.77","3585","0","38","19997"
"2021-09-05","Santiago","49","35701","3415.81","7.81","34273","0","608","183636"
"2021-09-05","Santiago Rodriguez","0","1698","2965.11","3.64","1663","0","11","12936"
"2021-09-05","Valverde","0","3534","1999.77","4.21","3384","0","53","29375"
"2021-09-05","Monsefor Nouel","0","3972","2279.12","3.85","3877","0","51","25818"
"2021-09-05","Monte Plata","0","2255","1180.42","3.96","2146","0","36","18397"
"2021-09-05","Hato Mayor","0","1720","2005.55","6.65","1642","0","20","12549"
"2021-09-05","San Jose de Ocoa","1","1416","2602.7","3.48","1350","0","28","8126"
"2021-09-05","Santo Domingo","19","76661","2638.02","5.68","74981","0","810","376658"
"2021-09-05","No especificado*e","0","10122","0","0","10036","0","2","76064"
