"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-24","Distrito Nacional","32","95787","9182.16","7.31","94489","0","643","494831"
"2021-09-24","Azua","4","4554","2048.99","8.43","4456","0","40","24997"
"2021-09-24","Baoruco","2","2002","1982.08","1.08","1963","0","14","11958"
"2021-09-24","Barahona","0","4815","2545.24","2.73","4718","0","32","28274"
"2021-09-24","Dajabén","2","1722","2590.76","9.33","1636","0","15","10144"
"2021-09-24","Duarte","0","8483","2837.95","4.15","8124","0","236","59530"
"2021-09-24","Elias Pifia","0","533","840.67","1.45","514","0","6","6378"
"2021-09-24","El Seibo","0","1230","1315.4","12.82","1183","0","16","8312"
"2021-09-24","Espaillat","12","7454","3107.84","5.88","7200","0","133","43474"
"2021-09-24","Independencia","0","1368","2341.5","2.08","1341","0","13","11814"
"2021-09-24","La Altagracia","8","12402","3509.28","3.72","12109","0","91","83387"
"2021-09-24","LaRomana","3","12898","4731.53","9.78","12554","0","204","79218"
"2021-09-24","La Vega","13","12347","3002.02","4.4","11881","0","216","69562"
"2021-09-24","Maria Trinidad Sanche","0","4542","3219.06","5.04","4418","0","32","26705"
"2021-09-24","Monte Cristi","1","1934","1649.88","18.06","1805","0","32","12478"
"2021-09-24","Pedernales","0","935","2671.66","4.24","916","0","4","4927"
"2021-09-24","Peravia","10","3241","1641.56","14.9","3098","0","66","20124"
"2021-09-24","Puerto Plata","15","9215","2765.43","5.19","8878","0","159","70564"
"2021-09-24","Hermanas Mirabal","0","3424","3715.76","5.13","3331","0","51","35808"
"2021-09-24","Samana","8","1185","1056.53","2.51","1151","0","10","10901"
"2021-09-24","San Cristébal","0","12227","1918.17","12.51","11817","0","217","61531"
"2021-09-24","San Juan","1","5718","2578.74","5.36","5573","0","73","32091"
"2021-09-24","San Pedro de Macoris","17","5955","1952.68","7.56","5800","0","63","41555"
"2021-09-24","Sanchez Ramirez","6","3819","2512.86","8.02","3660","0","38","20862"
"2021-09-24","Santiago","64","36472","3489.58","7.02","35146","1","617","194294"
"2021-09-24","Santiago Rodriguez","1","1758","3069.88","5.25","1692","0","11","13853"
"2021-09-24","Valverde","3","3803","2151.99","6.19","3588","0","53","32568"
"2021-09-24","Monsefior Nouel","2","4001","2295.76","4.82","3910","0","51","26303"
"2021-09-24","Monte Plata","3","2302","1205.03","3.42","2196","0","36","19472"
"2021-09-24","Hato Mayor","1","1742","2031.2","4.27","1679","0","20","13051"
"2021-09-24","San Jose de Ocoa","1","1420","2610.05","1.53","1362","0","28","8338"
"2021-09-24","Santo Domingo","31","77496","2666.76","5.71","75780","0","816","389570"
"2021-09-24","No especificado""e","0","10150","0","0","10089","0","2","76276"
