"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-10-07","Distrito Nacional","144","97045","9302.75","9.45","95152","0","647","501742"
"2021-10-07","Azua","4","4606","2072.38","11.9","4486","0","40","25261"
"2021-10-07","Baoruco","1","2017","1996.93","2.14","1977","0","15","12334"
"2021-10-07","Barahona","8","4853","2565.32","3.55","4751","0","33","29063"
"2021-10-07","Dajabén","0","1848","2780.33","14.39","1725","0","16","10747"
"2021-10-07","Duarte","5","8591","2874.08","5.53","8213","0","236","60839"
"2021-10-07","Elias Pifia","1","559","881.68","4.48","520","0","6","6618"
"2021-10-07","El Seibo","0","1250","1336.78","11.56","1191","0","16","8417"
"2021-10-07","Espaillat","0","7552","3148.7","4.03","7282","0","134","45290"
"2021-10-07","Independencia","3","1401","2397.99","6.17","1356","0","13","12145"
"2021-10-07","La Altagracia","28","12836","3632.08","8.15","12338","0","91","85388"
"2021-10-07","LaRomana","27","13129","4816.27","11.6","12688","0","204","80346"
"2021-10-07","La Vega","13","12619","3068.15","5.75","12072","0","216","71218"
"2021-10-07","Maria Trinidad Sanche","0","4605","3263.71","5.89","4478","0","32","27341"
"2021-10-07","Monte Cristi","0","2131","1817.93","20.89","1965","0","33","13265"
"2021-10-07","Pedernales","0","1011","2888.82","24.29","939","0","4","5104"
"2021-10-07","Peravia","47","3424","1734.25","22.83","3194","0","67","20761"
"2021-10-07","Puerto Plata","2","9564","2870.17","6.8","9125","0","160","73957"
"2021-10-07","Hermanas Mirabal","2","3471","3766.77","4.95","3365","0","51","36155"
"2021-10-07","Samana","0","1236","1102","6.5","1182","0","10","11298"
"2021-10-07","San Cristébal","7","12549","1968.69","11.08","12041","0","218","63996"
"2021-10-07","San Juan","4","5837","2632.41","5.65","5632","0","74","33497"
"2021-10-07","San Pedro de Macoris","23","6101","2000.55","8.4","5895","0","63","42865"
"2021-10-07","Sanchez Ramirez","15","3914","2575.37","10.33","3748","0","38","21529"
"2021-10-07","Santiago","36","37537","3591.48","7.97","35891","0","624","203388"
"2021-10-07","Santiago Rodriguez","0","1925","3361.51","11.81","1783","0","11","14506"
"2021-10-07","Valverde","0","4032","2281.58","8.42","3782","0","53","34346"
"2021-10-07","Monsefor Nouel","4","4073","2337.07","5.85","3949","0","52","26978"
"2021-10-07","Monte Plata","0","2342","1225.97","3.36","2248","0","36","20610"
"2021-10-07","Hato Mayor","0","1757","2048.69","2.62","1691","0","20","13529"
"2021-10-07","San Jose de Ocoa","1","1430","2628.43","2.59","1365","0","28","8539"
"2021-10-07","Santo Domingo","134","78815","2712.14","7.6","76596","2","822","400322"
"2021-10-07","No especificado*e","8","10192","0","0","10114","0","2","76358"
