"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-09","Distrito Nacional","17","95205","9126.37","6.26","93826","0","641","490352"
"2021-09-09","Azua","3","4531","2038.64","6.45","4415","0","40","24795"
"2021-09-09","Baoruco","0","1990","1970.2","2.36","1953","0","14","10987"
"2021-09-09","Barahona","4","4800","2537.31","2.13","4697","0","32","27715"
"2021-09-09","Dajabén","5","1613","2426.77","7.14","1546","0","15","9376"
"2021-09-09","Duarte","10","8383","2804.49","3.09","8021","0","236","57872"
"2021-09-09","Elias Pina","0","523","824.9","0.56","504","0","6","5989"
"2021-09-09","El Seibo","0","1227","1312.19","5.04","1179","0","16","8297"
"2021-09-09","Espaillat","41","7383","3078.24","7.6","7042","0","133","42339"
"2021-09-09","Independencia","3","1362","2331.23","1.24","1337","0","13","11672"
"2021-09-09","La Altagracia","5","12225","3459.19","2.83","11980","0","90","79351"
"2021-09-09","LaRomana","7","12799","4695.21","4.03","12460","0","204","78495"
"2021-09-09","La Vega","17","12143","2952.42","9.44","11613","0","215","65536"
"2021-09-09","Maria Trinidad Sanche","8","4439","3146.06","7.44","4299","0","32","25298"
"2021-09-09","Monte Cristi","19","1767","1507.41","9.87","1666","0","31","11691"
"2021-09-09","Pedernales","0","923","2637.37","3.97","912","0","4","4815"
"2021-09-09","Peravia","1","3162","1601.55","7.3","3049","0","66","19797"
"2021-09-09","Puerto Plata","12","8983","2695.81","4.99","8571","0","158","66340"
"2021-09-09","Hermanas Mirabal","2","3386","3674.52","3.77","3273","0","50","35419"
"2021-09-09","Samana","6","1158","1032.45","3.5","1122","0","10","10178"
"2021-09-09","San Cristébal","15","12036","1888.21","9.67","11620","0","213","60219"
"2021-09-09","San Juan","1","5666","2555.29","3.54","5524","0","73","31219"
"2021-09-09","San Pedro de Macoris","3","5862","1922.18","4.08","5714","0","63","40598"
"2021-09-09","Sanchez Ramirez","4","3736","2458.25","9.13","3607","0","38","20099"
"2021-09-09","Santiago","73","35851","3430.16","8.34","34409","0","609","185583"
"2021-09-09","Santiago Rodriguez","4","1708","2982.57","3.7","1668","0","11","12992"
"2021-09-09","Valverde","28","3570","2020.14","3.89","3400","0","53","29974"
"2021-09-09","Monsefor Nouel","1","3976","2281.41","5.17","3883","0","51","25880"
"2021-09-09","Monte Plata","4","2262","1184.09","3.45","2162","0","36","18567"
"2021-09-09","Hato Mayor","6","1726","2012.55","6.71","1654","0","20","12620"
"2021-09-09","San Jose de Ocoa","1","1418","2606.38","3.89","1354","0","28","8156"
"2021-09-09","Santo Domingo","21","76819","2643.46","5.61","75089","0","811","379402"
"2021-09-09","No especificado*e","0","10130",NA,"0","10071","0","2","76130"
