"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-25","Distrito Nacional","36","95823","9185.61","7.19","94518","0","643","495108"
"2021-09-25","Azua","2","4556","2049.89","8.69","4456","0","40","24999"
"2021-09-25","Baoruco","1","2003","1983.07","0.83","1966","0","14","12064"
"2021-09-25","Barahona","0","4815","2545.24","2.75","4718","0","32","28278"
"2021-09-25","Dajabén","0","1722","2590.76","9.71","1639","0","15","10145"
"2021-09-25","Duarte","3","8486","2838.95","4.2","8139","0","236","59549"
"2021-09-25","Elias Pifia","4","537","846.98","1.61","514","0","6","6464"
"2021-09-25","El Seibo","0","1230","1315.4","13.51","1183","0","16","8312"
"2021-09-25","Espaillat","3","7457","3109.09","5.55","7205","0","133","43647"
"2021-09-25","Independencia","0","1368","2341.5","2.33","1341","0","13","11814"
"2021-09-25","La Altagracia","15","12417","3513.52","3.95","12113","0","91","83444"
"2021-09-25","LaRomana","5","12903","4733.36","9.74","12560","0","204","79265"
"2021-09-25","La Vega","12","12359","3004.94","4.46","11886","0","216","69695"
"2021-09-25","Maria Trinidad Sanche","3","4545","3221.19","4.85","4426","0","32","26727"
"2021-09-25","Monte Cristi","0","1934","1649.88","17.08","1815","0","32","12478"
"2021-09-25","Pedernales","0","935","2671.66","4.43","917","0","4","4927"
"2021-09-25","Peravia","1","3242","1642.07","14.79","3110","0","66","20126"
"2021-09-25","Puerto Plata","20","9235","2771.43","5.58","8906","0","159","70760"
"2021-09-25","Hermanas Mirabal","2","3426","3717.93","4.85","3338","0","51","35838"
"2021-09-25","Samana","4","1189","1060.09","2.72","1153","0","10","10915"
"2021-09-25","San Cristébal","23","12250","1921.78","12.36","11829","0","217","61719"
"2021-09-25","San Juan","4","5722","2580.55","3.8","5576","0","73","32367"
"2021-09-25","San Pedro de Macoris","8","5963","1955.3","7.61","5805","0","63","41612"
"2021-09-25","Sanchez Ramirez","1","3820","2513.52","8.18","3661","0","38","20863"
"2021-09-25","Santiago","17","36489","3491.21","6.87","35220","1","618","194547"
"2021-09-25","Santiago Rodriguez","0","1758","3069.88","5.29","1695","0","11","13853"
"2021-09-25","Valverde","1","3804","2152.56","6.22","3593","0","53","32578"
"2021-09-25","Monsefior Nouel","1","4002","2296.33","4.55","3916","0","51","26319"
"2021-09-25","Monte Plata","2","2304","1206.07","3.22","2197","0","36","19626"
"2021-09-25","Hato Mayor","0","1742","2031.2","4.22","1679","0","20","13051"
"2021-09-25","San Jose de Ocoa","0","1420","2610.05","1.62","1362","0","28","8338"
"2021-09-25","Santo Domingo","45","77541","2668.3","5.46","75822","0","816","390529"
"2021-09-25","No especificado*e","2","10152","0","0","10089","0","2","76276"
