"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-10-01","Distrito Nacional","68","96318","9233.06","8.49","94748","0","645","497726"
"2021-10-01","Azua","19","4591","2065.64","11.04","4469","0","40","25187"
"2021-10-01","Baoruco","0","2007","1987.03","0.85","1970","0","15","12121"
"2021-10-01","Barahona","0","4837","2556.86","3.25","4729","0","33","28602"
"2021-10-01","Dajabén","9","1763","2652.44","11.63","1692","0","16","10322"
"2021-10-01","Duarte","5","8532","2854.34","4.94","8170","0","236","60199"
"2021-10-01","Elias Piha","0","539","850.13","157","516","0","6","6478"
"2021-10-01","El Seibo","1","1234","1319.67","6.6","1185","0","16","8331"
"2021-10-01","Espaillat","10","7505","3129.1","5.26","7230","0","134","44340"
"2021-10-01","Independencia","1","1376","2355.2","3.15","1345","0","13","12017"
"2021-10-01","La Altagracia","35","12572","3557.38","5.37","12211","0","91","84324"
"2021-10-01","LaRomana","30","12997","4767.84","10.74","12618","0","204","79570"
"2021-10-01","La Vega","44","12496","3038.25","5.04","11970","0","216","70399"
"2021-10-01","Maria Trinidad Sanche","6","4578","3244.58","5.42","4455","0","32","27043"
"2021-10-01","Monte Cristi","26","2046","1745.42","21","1871","0","33","12834"
"2021-10-01","Pedernales","0","950","2714.52","10.95","926","0","4","4958"
"2021-10-01","Peravia","13","3302","1672.46","18.54","3139","0","66","20335"
"2021-10-01","Puerto Plata","18","9388","2817.35","6.46","8977","0","160","72144"
"2021-10-01","Hermanas Mirabal","11","3444","3737.47","4.59","3351","0","51","35972"
"2021-10-01","Samana","0","1205","1074.36","3.7","1162","0","10","11076"
"2021-10-01","San Cristébal","48","12405","1946.1","12.18","11904","1","218","62810"
"2021-10-01","San Juan","12","5762","2598.59","4.78","5601","1","74","32910"
"2021-10-01","San Pedro de Macoris","14","6016","1972.68","7.82","5838","0","63","42207"
"2021-10-01","Sanchez Ramirez","1","3875","2549.71","9.81","3709","0","38","21186"
"2021-10-01","Santiago","144","36996","3539.71","7.52","35459","0","621","198567"
"2021-10-01","Santiago Rodriguez","14","1831","3197.36","8.56","1729","0","11","14146"
"2021-10-01","Valverde","32","3896","2204.62","6.96","3700","0","53","33333"
"2021-10-01","Monsefor Nouel","6","4042","2319.28","5.29","3929","0","52","26636"
"2021-10-01","Monte Plata","3","2329","1219.16","3.66","2223","0","36","20195"
"2021-10-01","Hato Mayor","6","1750","2040.53","3.57","1689","0","20","13329"
"2021-10-01","San Jose de Ocoa","1","1423","2615.57","3.42","1363","0","28","8351"
"2021-10-01","Santo Domingo","83","78087","2687.09","6.69","76115","1","818","394825"
"2021-10-01","No especificado*e","0","10165","0","0","10105","0","2","76338"
