"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-01","Distrito Nacional","48","94913","9098.38","6.21","93571","0","640","487151"
"2021-09-01","Azua","6","4510","2029.19","6.77","4407","0","40","24588"
"2021-09-01","Baoruco","3","1989","1969.21","2.85","1945","0","14","10920"
"2021-09-01","Barahona","4","4793","2533.61","2.6","4682","0","32","27381"
"2021-09-01","Dajabon","15","1588","2389.16","6.63","1506","0","15","9033"
"2021-09-01","Duarte","7","8339","2789.77","3.45","7968","0","236","56506"
"2021-09-01","Elias Pifia","0","523","824.9","0.42","502","0","6","5965"
"2021-09-01","El Seibo","1","1225","1310.05","4.67","1178","0","16","8278"
"2021-09-01","Espaillat","21","7292","3040.3","8.39","6928","0","133","41391"
"2021-09-01","Independencia","0","1359","2326.1","1.31","1336","0","13","11577"
"2021-09-01","La Altagracia","11","12176","3445.33","3.15","11923","0","90","78385"
"2021-09-01","LaRomana","4","12765","4682.74","4.56","12429","0","204","78224"
"2021-09-01","La Vega","24","12026","2923.97","10.04","11503","0","214","64388"
"2021-09-01","Maria Trinidad Sanche","10","4392","3112.75","12.34","4244","0","32","24276"
"2021-09-01","Monte Cristi","18","1732","1477.55","6.24","1607","0","31","11444"
"2021-09-01","Pedernales","1","923","2637.37","4.52","910","0","4","4787"
"2021-09-01","Peravia","1","3141","1590.91","5.01","3039","0","66","19600"
"2021-09-01","Puerto Plata","16","8843","2653.79","4.8","8429","0","158","64266"
"2021-09-01","Hermanas Mirabal","3","3361","3647.39","3.23","3247","0","50","35107"
"2021-09-01","Samana","0","1146","1021.75","3.68","1119","0","10","9937"
"2021-09-01","San Cristébal","18","11965","1877.07","8.2","11553","0","213","59728"
"2021-09-01","San Juan","5","5649","2547.62","3.01","5500","0","73","31018"
"2021-09-01","San Pedro de Macoris","0","5831","1912.02","4.02","5696","0","63","40095"
"2021-09-01","Sanchez Ramirez","1","3714","2443.77","9.47","3578","0","38","19904"
"2021-09-01","Santiago","51","35442","3391.03","7.07","34059","0","608","181619"
"2021-09-01","Santiago Rodriguez","1","1692","2954.63","4.5","1648","0","11","12763"
"2021-09-01","Valverde","12","3506","1983.93","4.11","3353","0","53","29022"
"2021-09-01","Monsenor Nouel","0","3962","2273.38","3.66","3869","0","51","25683"
"2021-09-01","Monte Plata","5","2250","1177.81","4.5","2141","0","36","18112"
"2021-09-01","Hato Mayor","2","1710","1993.89","7.5","1627","0","20","12457"
"2021-09-01","San Jose de Ocoa","0","1413","2597.19","4.81","1349","0","28","8029"
"2021-09-01","Santo Domingo","31","76498","2632.41","5.63","74806","0","809","374507"
"2021-09-01","No especificado*e","2","10121","0","0","10031","0","2","76063"
