"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-14","Distrito Nacional","50","95425","9147.46","6.74","94083","0","642","491940"
"2021-09-14","Azua","0","4540","2042.69","7.33","4435","0","40","24897"
"2021-09-14","Baoruco","1","1996","1976.14","2.01","1957","0","14","11558"
"2021-09-14","Barahona","0","4804","2539.42","2.88","4704","0","32","27941"
"2021-09-14","Dajabén","13","1648","2479.43","7.62","1574","0","15","9707"
"2021-09-14","Duarte","9","8425","2818.55","3.77","8051","0","236","58447"
"2021-09-14","Elias Pifia","0","529","834.36","1.66","505","0","6","6168"
"2021-09-14","El Seibo","0","1228","1313.26","2.19","1182","0","16","8304"
"2021-09-14","Espaillat","1","7409","3089.08","8.17","7102","0","133","42741"
"2021-09-14","Independencia","0","1362","2331.23","1.73","1337","0","13","11680"
"2021-09-14","La Altagracia","10","12267","3471.08","4.3","12015","0","91","80181"
"2021-09-14","LaRomana","2","12820","4702.91","8.25","12495","0","204","78599"
"2021-09-14","La Vega","8","12209","2968.47","8.25","11729","0","215","66894"
"2021-09-14","Maria Trinidad Sanche","20","4474","3170.87","7.06","4333","0","32","25759"
"2021-09-14","Monte Cristi","14","1835","1565.42","16.67","1704","0","31","11982"
"2021-09-14","Pedernales","0","926","2645.94","2.98","912","0","4","4867"
"2021-09-14","Peravia","0","3182","1611.68","8.14","3066","0","66","19887"
"2021-09-14","Puerto Plata","30","9084","2726.12","5.63","8690","0","159","68229"
"2021-09-14","Hermanas Mirabal","0","3398","3687.55","4.61","3294","0","50","35575"
"2021-09-14","Samana","13","1171","1044.04","3.32","1127","0","10","10467"
"2021-09-14","San Cristébal","23","12111","1899.98","11.08","11691","1","215","60611"
"2021-09-14","San Juan","1","5677","2560.25","6.89","5545","0","73","31427"
"2021-09-14","San Pedro de Macoris","0","5902","1935.3","6.56","5739","0","63","40973"
"2021-09-14","Sanchez Ramirez","6","3756","2471.41","7.33","3628","0","38","20432"
"2021-09-14","Santiago","7","36041","3448.34","8.35","34732","0","611","188788"
"2021-09-14","Santiago Rodriguez","0","1714","2993.05","4.24","1673","0","11","13257"
"2021-09-14","Valverde","6","3646","2063.15","4.91","3444","0","53","31166"
"2021-09-14","Monsefior Nouel","1","3986","2287.15","5.42","3893","0","51","25995"
"2021-09-14","Monte Plata","1","2270","1188.28","4.06","2174","0","36","18713"
"2021-09-14","Hato Mayor","1","1732","2019.54","6.85","1666","0","20","12751"
"2021-09-14","San Jose de Ocoa","1","1419","2608.22","3.09","1356","0","28","8229"
"2021-09-14","Santo Domingo","64","77046","2651.27","6.14","75321","0","812","382552"
"2021-09-14","No especificado""e","0","10137","0","0","10075","0","2","76168"
