"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-10-08","Distrito Nacional","68","97113","9309.27","9.59","95255","0","647","502183"
"2021-10-08","Azua","3","4609","2073.73","12.12","4488","0","40","25269"
"2021-10-08","Baoruco","3","2020","1999.9","2.33","1977","0","15","12474"
"2021-10-08","Barahona","1","4854","2565.85","3.63","4751","0","33","29067"
"2021-10-08","Dajabén","29","1877","2823.96","14.85","1723","0","16","10864"
"2021-10-08","Duarte","16","8607","2879.43","5.55","8217","0","236","60992"
"2021-10-08","Elias Pina","2","561","884.83","4.98","521","0","6","6658"
"2021-10-08","El Seibo","2","1252","1338.92","10.39","1191","0","16","8431"
"2021-10-08","Espaillat","0","7552","3148.7","3.72","7286","0","134","45296"
"2021-10-08","Independencia","7","1408","2409.97","6.8","1356","0","13","12164"
"2021-10-08","La Altagracia","65","12901","3650.48","8.33","12358","0","91","85836"
"2021-10-08","LaRomana","42","13171","4831.67","12.84","12692","0","204","80455"
"2021-10-08","La Vega","11","12630","3070.83","6.15","12080","0","216","71276"
"2021-10-08","Maria Trinidad Sanche","24","4629","3280.72","6.92","4490","0","32","27436"
"2021-10-08","Monte Cristi","56","2187","1865.71","20.09","1972","0","33","13525"
"2021-10-08","Pedernales","28","1039","2968.83","26.46","939","0","4","5165"
"2021-10-08","Peravia","7","3431","1737.8","22.44","3199","0","67","20796"
"2021-10-08","Puerto Plata","30","9594","2879.17","7.04","9138","0","160","74196"
"2021-10-08","Hermanas Mirabal","1","3472","3767.85","4.81","3368","0","51","36181"
"2021-10-08","Samana","0","1236","1102","7.31","1182","0","10","11304"
"2021-10-08","San Cristébal","18","12567","1971.51","10.8","12056","0","218","64052"
"2021-10-08","San Juan","33","5870","2647.29","6.93","5634","0","74","33662"
"2021-10-08","San Pedro de Macoris","3","6104","2001.53","8.46","5895","0","63","42885"
"2021-10-08","Sanchez Ramirez","0","3914","2575.37","10.41","3769","0","38","21534"
"2021-10-08","Santiago","91","37628","3600.18","8.06","35932","1","625","204349"
"2021-10-08","Santiago Rodriguez","11","1936","3380.71","13.01","1793","0","11","14536"
"2021-10-08","Valverde","65","4097","2318.36","9.47","3785","0","53","34716"
"2021-10-08","Monsenor Nouel","2","4075","2338.22","6.04","3958","0","52","27003"
"2021-10-08","Monte Plata","7","2349","1229.63","3.33","2249","0","36","20658"
"2021-10-08","Hato Mayor","0","1757","2048.69","2.62","1691","0","20","13539"
"2021-10-08","San Jose de Ocoa","0","1430","2628.43","2.85","1365","0","28","8539"
"2021-10-08","Santo Domingo","120","78935","2716.27","7.88","76673","1","823","401433"
"2021-10-08","No especificado*e","66","10258","0","0","10115","0","2","76433"
