"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-20","Distrito Nacional","47","95633","9167.4","6.56","94319","0","643","493802"
"2021-09-20","Azua","1","4548","2046.29","7.64","4449","0","40","24966"
"2021-09-20","Baoruco","1","1999","1979.11","1.24","1958","0","14","11749"
"2021-09-20","Barahona","2","4810","2542.59","3.48","4710","0","32","28135"
"2021-09-20","Dajabén","13","1697","2553.15","9.2","1593","0","15","9988"
"2021-09-20","Duarte","9","8463","2831.26","3.97","8091","0","236","59240"
"2021-09-20","Elias Piha","0","532","839.09","1.71","512","0","6","6225"
"2021-09-20","El Seibo","0","1228","1313.26","5.26","1183","0","16","8306"
"2021-09-20","Espaillat","12","7428","3097","7.43","7168","0","133","42985"
"2021-09-20","Independencia","3","1365","2336.37","1.93","1340","0","13","11773"
"2021-09-20","La Altagracia","10","12338","3491.17","3.32","12053","0","91","82342"
"2021-09-20","LaRomana","3","12871","4721.62","8.36","12527","0","204","79005"
"2021-09-20","La Vega","13","12278","2985.24","6.68","11810","0","216","68098"
"2021-09-20","Maria Trinidad Sanche","17","4522","3204.89","6.65","4376","0","32","26146"
"2021-09-20","Monte Cristi","8","1879","1602.96","18.21","1730","0","31","12153"
"2021-09-20","Pedernales","5","933","2665.94","4.47","914","0","4","4916"
"2021-09-20","Peravia","2","3203","1622.31","9.81","3088","0","66","20023"
"2021-09-20","Puerto Plata","11","9154","2747.13","5.54","8818","0","159","69714"
"2021-09-20","Hermanas Mirabal","1","3415","3705.99","5.12","3318","0","51","35704"
"2021-09-20","Samana","0","1175","1047.61","2.21","1143","0","10","10766"
"2021-09-20","San Cristébal","22","12195","1913.15","11.72","11742","0","217","61257"
"2021-09-20","San Juan","10","5699","2570.17","5.79","5556","0","73","31842"
"2021-09-20","San Pedro de Macoris","1","5929","1944.15","7.46","5775","0","63","41254"
"2021-09-20","Sanchez Ramirez","18","3787","2491.81","6.33","3638","0","38","20703"
"2021-09-20","Santiago","55","36282","3471.4","7.68","34977","0","613","191717"
"2021-09-20","Santiago Rodriguez","0","1723","3008.77","4.18","1686","0","11","13431"
"2021-09-20","Valverde","24","3732","2111.82","5.45","3508","0","53","32107"
"2021-09-20","Monsefior Nouel","1","3994","2291.74","5.62","3902","0","51","26109"
"2021-09-20","Monte Plata","5","2287","1197.18","3.92","2188","0","36","19042"
"2021-09-20","Hato Mayor","2","1740","2028.87","5.79","1675","0","20","12970"
"2021-09-20","San Jose de Ocoa","0","1419","2608.22","2.04","1362","0","28","8323"
"2021-09-20","Santo Domingo","45","77315","2660.53","5.78","75563","0","812","386718"
"2021-09-20","No especificado“e","2","10148","0","0","10084","0","2","76275"
