"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-12","Distrito Nacional","21","95294","9134.9","6.7","93971","0","641","491137"
"2021-09-12","Azua","8","4539","2042.24","7.91","4429","0","40","24868"
"2021-09-12","Baoruco","0","1990","1970.2","1.45","1956","0","14","11529"
"2021-09-12","Barahona","0","4801","2537.83","2.85","4702","0","32","27791"
"2021-09-12","Dajabén","3","1629","2450.84","7.19","1572","0","15","9549"
"2021-09-12","Duarte","4","8410","2813.53","3.4","8040","0","236","58238"
"2021-09-12","Elias Pitta","1","529","834.36","1.63","505","0","6","6168"
"2021-09-12","El Seibo","1","1228","1313.26","2.24","1180","0","16","8301"
"2021-09-12","Espaillat","8","7404","3086.99","8.21","7083","0","133","42676"
"2021-09-12","Independencia","0","1362","2331.23","1.65","1337","0","13","11680"
"2021-09-12","La Altagracia","1","12238","3462.87","4.25","11999","0","91","79771"
"2021-09-12","LaRomana","1","12810","4699.24","8.2","12481","0","204","78536"
"2021-09-12","La Vega","22","12183","2962.14","9.83","11681","0","215","66245"
"2021-09-12","Maria Trinidad Sanche","0","4448","3152.44","7.01","4320","0","32","25539"
"2021-09-12","Monte Cristi","3","1809","1543.24","16.13","1691","0","31","11884"
"2021-09-12","Pedernales","3","926","2645.94","2.99","912","0","4","4861"
"2021-09-12","Peravia","6","3179","1610.16","7.88","3058","0","66","19868"
"2021-09-12","Puerto Plata","7","9050","2715.92","5.72","8646","0","158","67141"
"2021-09-12","Hermanas Mirabal","2","3395","3684.29","4.34","3284","0","50","35558"
"2021-09-12","Samana","0","1158","1032.45","4.5","1126","0","10","10179"
"2021-09-12","San Cristébal","31","12083","1895.58","11.04","11658","0","214","60446"
"2021-09-12","San Juan","0","5670","2557.09","7.38","5540","0","73","31276"
"2021-09-12","San Pedro de Macoris","18","5899","1934.31","6.68","5730","0","63","40900"
"2021-09-12","Sanchez Ramirez","0","3744","2463.51","7.41","3616","0","38","20295"
"2021-09-12","Santiago","35","35995","3443.94","8.91","34575","1","610","187565"
"2021-09-12","Santiago Rodriguez","4","1713","2991.3","4.3","1673","0","11","13220"
"2021-09-12","Valverde","18","3612","2043.91","4.46","3429",NA,"53","30921"
"2021-09-12","Monsefior Nouel","6","3983","2285.43","5.08","3889","0","51","25981"
"2021-09-12","Monte Plata","0","2268","1187.23","4.03","2168","0","36","18690"
"2021-09-12","Hato Mayor","3","1731","2018.38","7.15","1658","0","20","12706"
"2021-09-12","San Jose de Ocoa","0","1418","2606.38","3.42","1354","0","28","8196"
"2021-09-12","Santo Domingo","33","76913","2646.69","6.14","75235","0","812","381041"
"2021-09-12","No especificado*e","0","10131","0","0","10071","0","2","76131"
