"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-17","Distrito Nacional","21","95502","9154.84","6.71","94232","0","643","492666"
"2021-09-17","Azua","0","4540","2042.69","7.66","4443","0","40","24911"
"2021-09-17","Baoruco","1","1997","1977.13","1.34","1957","0","14","11741"
"2021-09-17","Barahona","1","4807","2541.01","3.02","4705","0","32","28044"
"2021-09-17","Dajabén","16","1677","2523.06","8.64","1587","0","15","9872"
"2021-09-17","Duarte","5","8451","2827.24","4","8067","0","236","58969"
"2021-09-17","Elias Pita","0","532","839.09","1.69","508","0","6","6224"
"2021-09-17","El Seibo","0","1228","1313.26","5.45","1183","0","16","8304"
"2021-09-17","Espaillat","0","7416","3092","7.6","7122","0","133","42879"
"2021-09-17","Independencia","0","1362","2331.23","1.81","1338","0","13","11682"
"2021-09-17","La Altagracia","16","12303","3481.27","3.15","12038","0","91","81932"
"2021-09-17","LaRomana","11","12849","4713.55","7.85","12508","0","204","78845"
"2021-09-17","La Vega","14","12248","2977.95","7.54","11761","0","216","67377"
"2021-09-17","Maria Trinidad Sanche","8","4504","3192.13","6.22","4358","0","32","25976"
"2021-09-17","Monte Cristi","24","1871","1596.13","17","1710","0","31","12103"
"2021-09-17","Pedernales","1","928","2651.66","2.67","914","0","4","4881"
"2021-09-17","Peravia","0","3196","1618.77","10.37","3077","0","66","19956"
"2021-09-17","Puerto Plata","15","9143","2743.82","5.34","8752","0","159","69560"
"2021-09-17","Hermanas Mirabal","6","3412","3702.74","5","3308","0","51","35673"
"2021-09-17","Samana","1","1175","1047.61","2.34","1128","0","10","10747"
"2021-09-17","San Cristdbal","14","12152","1906.41","12.45","11704","0","216","60812"
"2021-09-17","San Juan","6","5689","2565.66","5.38","5553","0","73","31786"
"2021-09-17","San Pedro de Macoris","10","5915","1939.56","7.32","5751","0","63","41079"
"2021-09-17","Sanchez Ramirez","12","3768","2479.31","6.64","3632","0","38","20603"
"2021-09-17","Santiago","47","36187","3462.31","7.99","34843","0","612","190516"
"2021-09-17","Santiago Rodriguez","1","1720","3003.53","3.79","1682","0","11","13417"
"2021-09-17","Valverde","19","3699","2093.14","5.06","3472","0","53","31908"
"2021-09-17","Monsefor Nouel","0","3992","2290.59","5.26","3897","0","51","26074"
"2021-09-17","Monte Plata","2","2279","1192.99","3.79","2177","0","36","18908"
"2021-09-17","Hato Mayor","6","1738","2026.54","6.93","1666","0","20","12875"
"2021-09-17","San Jose de Ocoa","0","1419","2608.22","2.57","1360","0","28","8308"
"2021-09-17","Santo Domingo","38","77174","2655.68","5.81","75480","0","812","384937"
"2021-09-17","No especificado""e","2","10140","0","0","10083","0","2","76168"
