"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-10-10","Distrito Nacional","128","97298","9327","9.97","95420","0","647","503150"
"2021-10-10","Azua","6","4621","2079.13","10.79","4509","0","40","25418"
"2021-10-10","Baoruco","1","2022","2001.88","2.68","1978","0","15","12482"
"2021-10-10","Barahona","2","4866","2572.19","3.74","4755","0","33","29250"
"2021-10-10","Dajabén","19","1899","2857.06","16.17","1746","0","16","10985"
"2021-10-10","Duarte","13","8629","2886.79","5.89","8236","0","236","61182"
"2021-10-10","Elias Pita","0","561","884.83","5.1","525","0","6","6658"
"2021-10-10","El Seibo","0","1252","1338.92","10.67","1191","0","16","8440"
"2021-10-10","Espaillat","18","7580","3160.37","3.69","7303","0","134","45868"
"2021-10-10","Independencia","0","1408","2409.97","7.05","1364","0","13","12164"
"2021-10-10","La Altagracia","23","12939","3661.23","9.61","12420","0","91","85952"
"2021-10-10","LaRomana","41","13217","4848.55","1439","12745","0","204","80625"
"2021-10-10","La Vega","22","12679","3082.74","7.23","12159","0","216","71620"
"2021-10-10","Maria Trinidad Sanche","6","4638","3287.1","6.61","4511","0","32","27552"
"2021-10-10","Monte Cristi","25","2212","1887.03","20.42","2005","0","33","13590"
"2021-10-10","Pedernales","18","1057","3020.26","27.45","941","0","4","5225"
"2021-10-10","Peravia","37","3496","1770.72","24.61","3250","0","67","20989"
"2021-10-10","Puerto Plata","21","9623","2887.87","7.68","9182","0","160","74355"
"2021-10-10","Hermanas Mirabal","3","3475","3771.11","3.37","3383","0","51","36406"
"2021-10-10","Samana","0","1245","1110.02","7.12","1190","0","10","11377"
"2021-10-10","San Cristébal","28","12636","1982.34","10.48","12114","0","218","64794"
"2021-10-10","San Juan","3","5873","2648.65","7.25","5660","0","74","33733"
"2021-10-10","San Pedro de Macoris","18","6124","2008.09","8.91","5928","0","63","43039"
"2021-10-10","Sanchez Ramirez","0","3926","2583.27","10.18","3783","0","38","21663"
"2021-10-10","Santiago","78","37825","3619.03","8.44","36142","0","625","205832"
"2021-10-10","Santiago Rodriguez","11","1958","3419.13","14.45","1820","0","11","14626"
"2021-10-10","Valverde","10","4107","2324.02","9.86","3824","0","53","34822"
"2021-10-10","Monsefor Nouel","4","4088","2345.68","5.76","3975","0","52","27142"
"2021-10-10","Monte Plata","0","2356","1233.29","3.17","2253","0","36","20972"
"2021-10-10","Hato Mayor","0","1760","2052.19","2.61","1696","0","20","13640"
"2021-10-10","San Jose de Ocoa","1","1431","2630.27","3.75","1366","0","28","8543"
"2021-10-10","Santo Domingo","94","79129","2722.95","8.29","76837","0","823","403128"
"2021-10-10","No especificado*e","3","10261","0","0","10121","0","2","76433"
