"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-10-03","Distrito Nacional","145","96508","9251.27","7.98","94921","0","645","499176"
"2021-10-03","Azua","0","4592","2066.09","12","4482","0","40","25198"
"2021-10-03","Baoruco","0","2008","1988.02","0.91","1974","0","15","12165"
"2021-10-03","Barahona","0","4839","2557.92","3.86","4738","0","33","28626"
"2021-10-03","Dajabén","0","1788","2690.06","12.6","1702","0","16","10426"
"2021-10-03","Duarte","1","8539","2856.68","5.32","8186","0","236","60327"
"2021-10-03","Elias Pina","0","543","856.44","2.39","520","0","6","6495"
"2021-10-03","El Seibo","0","1247","1333.58","10.42","1187","0","16","8397"
"2021-10-03","Espaillat","1","7520","3135.36","4.82","7252","0","134","44730"
"2021-10-03","Independencia","4","1381","2363.75","3.88","1348","0","13","12047"
"2021-10-03","La Altagracia","20","12636","3575.49","5.9","12260","0","91","84632"
"2021-10-03","LaRomana","33","13034","4781.42","10.55","12650","0","204","79893"
"2021-10-03","La Vega","9","12544","3049.92","5.34","12013","0","216","70648"
"2021-10-03","Maria Trinidad Sanche","3","4581","3246.7","5.58","4470","0","32","27118"
"2021-10-03","Monte Cristi","0","2058","1755.66","21.88","1926","0","33","12863"
"2021-10-03","Pedernales","13","964","2754.52","12.63","931","0","4","5042"
"2021-10-03","Peravia","13","3318","1680.56","19.16","3167","0","66","20407"
"2021-10-03","Puerto Plata","30","9425","2828.45","6.5","9028","0","160","72610"
"2021-10-03","Hermanas Mirabal","0","3449","3742.89","4.96","3355","0","51","36033"
"2021-10-03","Samana","10","1230","1096.65","4.73","1170","0","10","11285"
"2021-10-03","San Cristébal","22","12471","1956.45","11.7","11964","0","218","63342"
"2021-10-03","San Juan","1","5774","2604","5.27","5612","0","74","32941"
"2021-10-03","San Pedro de Macoris","4","6051","1984.16","8.41","5868","0","63","42446"
"2021-10-03","Sanchez Ramirez","18","3893","2561.55","10.13","3722","0","38","21318"
"2021-10-03","Santiago","45","37161","3555.5","7.55","35637","0","621","200368"
"2021-10-03","Santiago Rodriguez","10","1848","3227.05","8.51","1746","0","11","14313"
"2021-10-03","Valverde","0","3925","2221.03","7.1","3734","0","53","33659"
"2021-10-03","Monsefior Nouel","9","4056","2327.32","5.44","3938","0","52","26844"
"2021-10-03","Monte Plata","0","2337","1223.35","3.7","2233","0","36","20387"
"2021-10-03","Hato Mayor","0","1750","2040.53","3.43","1691","0","20","13331"
"2021-10-03","San Jose de Ocoa","5","1429","2626.6","3.58","1365","0","28","8462"
"2021-10-03","Santo Domingo","171","78331","2695.49","6.67","76338","0","818","396744"
"2021-10-03","No especificado*e","5","10172","0","0","10113","0","2","76344"
