"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-26","Distrito Nacional","48","95871","9190.21","7.1","94543","0","643","495516"
"2021-09-26","Azua","10","4566","2054.39","9.13","4457","0","40","25066"
"2021-09-26","Baoruco","0","2003","1983.07","0.83","1966","0","14","12064"
"2021-09-26","Barahona","8","4823","2549.46","3.75","4721","0","32","28306"
"2021-09-26","Dajabén","2","1724","2593.77","9.8","1652","0","15","10153"
"2021-09-26","Duarte","6","8492","2840.96","4.22","8144","0","236","59628"
"2021-09-26","Elias Pifia","1","538","848.55","1.8","514","0","6","6465"
"2021-09-26","El Seibo","0","1230","1315.4","13.51","1183","0","16","8312"
"2021-09-26","Espaillat","8","7465","3112.43","5.41","7208","0","133","43786"
"2021-09-26","Independencia","0","1368","2341.5","1.91","1342","0","13","11871"
"2021-09-26","La Altagracia","9","12426","3516.07","4","12126","0","91","83503"
"2021-09-26","LaRomana","11","12914","4737.4","10.01","12569","0","204","79309"
"2021-09-26","La Vega","10","12369","3007.37","4.56","11894","0","216","69734"
"2021-09-26","Maria Trinidad Sanche","8","4553","3226.86","4.99","4428","0","32","26808"
"2021-09-26","Monte Cristi","39","1973","1683.15","19.02","1828","0","32","12584"
"2021-09-26","Pedernales","7","942","2691.66","6.36","918","0","4","4942"
"2021-09-26","Peravia","12","3254","1648.15","15.41","3112","0","66","20168"
"2021-09-26","Puerto Plata","1","9236","2771.73","5.58","8914","0","159","70760"
"2021-09-26","Hermanas Mirabal","1","3427","3719.02","4.83","3341","0","51","35842"
"2021-09-26","Samana","0","1189","1060.09","2.71","1154","0","10","10917"
"2021-09-26","San Cristébal","21","12271","1925.08","11.36","11842","0","217","62068"
"2021-09-26","San Juan","1","5723","2581","3.77","5580","0","73","32404"
"2021-09-26","San Pedro de Macoris","6","5969","1957.27","7.57","5812","0","63","41700"
"2021-09-26","Sanchez Ramirez","1","3821","2514.18","8.11","3671","0","38","20869"
"2021-09-26","Santiago","50","36539","3495.99","7.04","35254","2","620","194821"
"2021-09-26","Santiago Rodriguez","7","1765","3082.11","5.43","1700","0","11","13936"
"2021-09-26","Valverde","11","3815","2158.78","6.3","3609","0","53","32642"
"2021-09-26","Monsefior Nouel","8","4010","2300.92","4.72","3917","0","51","26337"
"2021-09-26","Monte Plata","0","2304","1206.07","2.82","2199","0","36","19850"
"2021-09-26","Hato Mayor","1","1743","2032.37","3.63","1686","0","20","13169"
"2021-09-26","San Jose de Ocoa","1","1421","2611.89","1.91","1362","0","28","8344"
"2021-09-26","Santo Domingo","77","77618","2670.95","5.4","75868","0","816","391470"
"2021-09-26","No especificado""e","3","10155","0","0","10092","0","2","76277"
