"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-02","Distrito Nacional","42","94955","9102.4","6.31","93605","0","640","487427"
"2021-09-02","Azua","2","4512","2030.09","6.52","4409","0","40","24617"
"2021-09-02","Baoruco","1","1990","1970.2","2.88","1947","0","14","10937"
"2021-09-02","Barahona","1","4794","2534.13","2.49","4685","0","32","27410"
"2021-09-02","Dajabén","2","1590","2392.16","6.53","1514","0","15","9104"
"2021-09-02","Duarte","11","8350","2793.45","3.23","7979","0","236","56821"
"2021-09-02","Elias Pita","0","523","824.9","0.44","502","0","6","5978"
"2021-09-02","El Seibo","0","1225","1310.05","4.63","1178","0","16","8279"
"2021-09-02","Espaillat","20","7312","3048.64","8.27","6966","0","133","41551"
"2021-09-02","Independencia","0","1359","2326.1","1.34","1336","0","13","11578"
"2021-09-02","La Altagracia","10","12186","3448.16","3.11","11930","0","90","78545"
"2021-09-02","LaRomana","9","12774","4686.04","4.56","12430","0","204","78255"
"2021-09-02","Vega","37","12063","2932.97","9.65","11525","0","214","64710"
"2021-09-02","Maria Trinidad Sanche","8","4400","3118.42","11.55","4255","0","32","24334"
"2021-09-02","Monte Cristi","6","1738","1482.67","6.14","1627","0","31","11532"
"2021-09-02","Pedernales","0","923","2637.37","4.47","910","0","4","4792"
"2021-09-02","Peravia","2","3143","1591.92","4.97","3040","0","66","19635"
"2021-09-02","Puerto Plata","10","8853","2656.8","4.61","8455","0","158","64655"
"2021-09-02","Hermanas Mirabal","3","3364","3650.65","3.46","3249","0","50","35167"
"2021-09-02","Samana","0","1146","1021.75","3.39","1119","0","10","9993"
"2021-09-02","San Cristébal","10","11975","1878.64","8.64","11561","0","213","59807"
"2021-09-02","San Juan","5","5654","2549.88","3.16","5510","0","73","31045"
"2021-09-02","San Pedro de Macoris","8","5839","1914.64","4.09","5701","0","63","40169"
"2021-09-02","Sanchez Ramirez","9","3723","2449.7","9.19","3579","0","38","19958"
"2021-09-02","Santiago","133","35575","3403.76","7.62","34118","0","608","182483"
"2021-09-02","Santiago Rodriguez","1","1693","2956.38","3.67","1655","0","11","12780"
"2021-09-02","Valverde","11","3517","1990.15","4.2","3358","0","53","29135"
"2021-09-02","Monsefor Nouel","5","3967","2276.25","3.85","3871","0","51","25711"
"2021-09-02","Monte Plata","1","2251","1178.33","4.18","2142","0","36","18122"
"2021-09-02","Hato Mayor","2","1712","1996.22","7.75","1629","0","20","12469"
"2021-09-02","San Jose de Ocoa","1","1414","2599.03","4.23","1349","0","28","8055"
"2021-09-02","Santo Domingo","61","76559","2634.51","5.77","74853","0","809","375116"
"2021-09-02","Noespecificado""e","0","10121","0","0","10035","0","2","76064"
