date,province,new_cases,accu_cases,incidence,positivity,recovered,new_deaths,accu_deaths,processed
8/29/2021,Distrito Nacional,27,94756,9083.33,5.79,93436,0,640,485996
8/29/2021,Azua,0,4501,2025.14,6.1,4403,0,40,24547
8/29/2021,Baoruco,0,1984,1964.26,3.33,1944,0,14,10848
8/29/2021,Barahona,1,4786,2529.91,2.79,4676,0,32,27182
8/29/2021,Dajabén,0,1565,2354.55,6.29,1501,0,15,8730
8/29/2021,Duarte,1,8326,2785.43,3.75,7938,0,234,55789
8/29/2021,Elias Piha,0,522,823.32,0.34,502,0,6,5962
8/29/2021,El Seibo,0,1224,1308.98,4.5,1173,0,16,8274
8/29/2021,Espaillat,0,7252,3023.62,8.75,6880,0,133,40942
8/29/2021,Independencia,0,1359,2326.1,1.67,1335,0,13,11550
8/29/2021,La Altagracia,0,12160,3440.8,3.02,11896,0,90,78074
8/29/2021,La Romana,3,12745,4675.4,3.9,12416,0,204,78094
8/29/2021,La Vega,4,11973,2911.08,8.97,11446,0,214,64172
8/29/2021,Maria Trinidad Sanche},0,4378,3102.83,13.26,4232,0,32,24189
8/29/2021,Monte Cristi,0,1713,1461.34,5.6,1601,0,31,11340
8/29/2021,Pedernales,0,922,2634.51,5.92,908,0,4,4767
8/29/2021,Peravia,0,3137,1588.89,5.23,3027,0,66,19526
8/29/2021,Puerto Plata,12,8797,2639.99,4.94,8401,0,158,63174
8/29/2021,Hermanas Mirabal,1,3346,3631.12,3.25,3241,0,50,34957
8/29/2021,Samana,0,1146,1021.75,3.83,1114,0,10,9885
8/29/2021,San Cristébal,16,11931,1871.74,7.47,11532,0,213,59480
8/29/2021,San Juan,1,5638,2542.66,3.14,5495,0,73,30871
8/29/2021,San Pedro de Macoris,0,5825,1910.05,3.9,5691,0,63,40011
8/29/2021,Sanchez Ramirez,12,3711,2441.8,9.08,3564,0,38,19891
8/29/2021,Santiago,37,35361,3383.28,7.49,33953,0,608,180241
8/29/2021,Santiago Rodriguez,0,1683,2938.92,4.44,1645,0,11,12667
8/29/2021,Valverde,0,3481,1969.78,4.09,3343,0,53,28617
8/29/2021,Monsenor Nouel,0,3960,2272.23,3.94,3859,0,51,25653
8/29/2021,Monte Plata,3,2244,1174.67,5.02,2138,0,36,17962
8/29/2021,Hato Mayor,0,1706,1989.23,9.15,1627,0,20,12314
8/29/2021,San Jose de Ocoa,0,1413,2597.19,6.03,1346,0,28,8028
8/29/2021,Santo Domingo,6,76361,2627.7,5.46,74706,0,809,373036
8/29/2021,No especificado*e,34,10111,NA,0,10025,0,2,75881
