"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-06","Distrito Nacional","39","95108","9117.07","6.05","93737","0","641","489015"
"2021-09-06","Azua","0","4520","2033.69","6.29","4414","0","40","24745"
"2021-09-06","Baoruco","0","1990","1970.2","2.57","1948","0","14","10954"
"2021-09-06","Barahona","0","4795","2534.66","2.45","4694","0","32","27489"
"2021-09-06","Dajabén","0","1598","2404.2","6.89","1542","0","15","9163"
"2021-09-06","Duarte","0","8361","2797.13","3.17","8007","0","236","57347"
"2021-09-06","Elias Pina","0","523","824.9","0.44","504","0","6","5986"
"2021-09-06","El Seibo","0","1227","1312.19","4.74","1179","0","16","8296"
"2021-09-06","Espaillat","3","7335","3058.23","7.94","7016","0","133","41873"
"2021-09-06","Independencia","0","1359","2326.1","0.78","1337","0","13","11583"
"2021-09-06","La Altagracia","1","12206","3453.82","3.07","11969","0","90","78914"
"2021-09-06","La Romana","1","12789","4691.54","4.38","12447","0","204","78365"
"2021-09-06","La Vega","1","12109","2944.15","9.08","11583","0","215","65180"
"2021-09-06","Maria Trinidad Sanche","2","4410","3125.51","9.55","4280","0","32","24695"
"2021-09-06","Monte Cristi","0","1744","1487.79","6.13","1662","0","31","11581"
"2021-09-06","Pedernales","0","923","2637.37","3.83","912","0","4","4808"
"2021-09-06","Peravia","0","3158","1599.52","5.53","3046","0","66","19736"
"2021-09-06","Puerto Plata","3","8936","2681.7","4.89","8538","0","158","65608"
"2021-09-06","Hermanas Mirabal","0","3372","3659.33","3.57","3264","0","50","35265"
"2021-09-06","Samana","0","1152","1027.1","3.92","1121","0","10","10042"
"2021-09-06","San Cristébal","0","12011","1884.29","9.48","11597","0","213","59984"
"2021-09-06","San Juan","0","5660","2552.59","3.25","5522","0","73","31099"
"2021-09-06","San Pedro de Macoris","4","5854","1919.56","4.13","5712","0","63","40420"
"2021-09-06","Sanchez Ramirez","0","3729","2453.64","8.75","3585","0","38","19998"
"2021-09-06","Santiago","12","35713","3416.96","7.78","34317","0","608","183820"
"2021-09-06","Santiago Rodriguez","0","1698","2965.11","3.64","1663","0","11","12936"
"2021-09-06","Valverde","0","3534","1999.77","4.19","3390","0","53","29385"
"2021-09-06","Monsefior Nouel","0","3972","2279.12","3.85","3878","0","51","25819"
"2021-09-06","Monte Plata","1","2256","1180.95","3.88","2153","0","36","18430"
"2021-09-06","Hato Mayor","0","1720","2005.55","6.65","1643","0","20","12549"
"2021-09-06","San Jose de Ocoa","1","1417","2604.54","3.64","1352","0","28","8143"
"2021-09-06","Santo Domingo","40","76701","2639.4","5.57","75005","0","811","376998"
"2021-09-06","No especificado*e","7","10129","0","0","10037","0","2","76075"
